Machine Module SVA1032X Plus
Trace Name,Trace A
Meas Type,S21
Start Frequency,+1.000000000E+05
Stop Frequency,+5.000000000E+07
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,-2.617316e+01
1.008321e+05,-2.643691e+01
1.016710e+05,-2.631501e+01
1.025170e+05,-2.622202e+01
1.033700e+05,-2.626787e+01
1.042301e+05,-2.633412e+01
1.050973e+05,-2.631988e+01
1.059718e+05,-2.630950e+01
1.068536e+05,-2.634314e+01
1.077426e+05,-2.627387e+01
1.086391e+05,-2.634092e+01
1.095431e+05,-2.629385e+01
1.104545e+05,-2.633764e+01
1.113736e+05,-2.632660e+01
1.123003e+05,-2.627747e+01
1.132347e+05,-2.622603e+01
1.141768e+05,-2.615774e+01
1.151269e+05,-2.628586e+01
1.160848e+05,-2.625573e+01
1.170507e+05,-2.634251e+01
1.180246e+05,-2.630813e+01
1.190066e+05,-2.642505e+01
1.199968e+05,-2.645129e+01
1.209953e+05,-2.621382e+01
1.220020e+05,-2.627877e+01
1.230172e+05,-2.628354e+01
1.240407e+05,-2.626574e+01
1.250728e+05,-2.636293e+01
1.261135e+05,-2.630905e+01
1.271628e+05,-2.629471e+01
1.282209e+05,-2.630136e+01
1.292878e+05,-2.624785e+01
1.303635e+05,-2.631154e+01
1.314482e+05,-2.626777e+01
1.325419e+05,-2.622604e+01
1.336448e+05,-2.620314e+01
1.347568e+05,-2.637201e+01
1.358780e+05,-2.641974e+01
1.370086e+05,-2.630155e+01
1.381486e+05,-2.624630e+01
1.392981e+05,-2.623515e+01
1.404571e+05,-2.622890e+01
1.416258e+05,-2.622897e+01
1.428042e+05,-2.624455e+01
1.439924e+05,-2.635162e+01
1.451905e+05,-2.623800e+01
1.463986e+05,-2.621868e+01
1.476167e+05,-2.630322e+01
1.488449e+05,-2.634374e+01
1.500834e+05,-2.626555e+01
1.513322e+05,-2.618076e+01
1.525914e+05,-2.622487e+01
1.538610e+05,-2.622978e+01
1.551412e+05,-2.623282e+01
1.564321e+05,-2.626796e+01
1.577337e+05,-2.617700e+01
1.590461e+05,-2.623511e+01
1.603695e+05,-2.620984e+01
1.617038e+05,-2.623352e+01
1.630493e+05,-2.633330e+01
1.644060e+05,-2.628927e+01
1.657739e+05,-2.617268e+01
1.671533e+05,-2.624193e+01
1.685441e+05,-2.621437e+01
1.699465e+05,-2.626162e+01
1.713605e+05,-2.623093e+01
1.727863e+05,-2.627682e+01
1.742240e+05,-2.617211e+01
1.756736e+05,-2.624663e+01
1.771354e+05,-2.630332e+01
1.786092e+05,-2.631658e+01
1.800953e+05,-2.622699e+01
1.815938e+05,-2.624274e+01
